,NTA,Count,Male_Prct,Female_Prct,Med_Age,His_Prct,Wht_Prct,Blk_Prct,Asi_Prct,Emp_Prct,Med_Icm,Ins_Prct,Bl_Pvt_Prct,M_Mrg_Prct,F_Mrg_Prct,Bf_Hs_Prct,Af_Hs_Prct,Vtr_Prct,Dis_Prct,Citi_Prct
30,Claremont-Bathgate,30766,0.43700000000000006,0.563,27.4,0.5539999999999999,0.01,0.424,0.0,0.109,20461.0,0.877,0.506,0.27399999999999997,0.188,0.39899999999999997,0.092,0.015,0.158,0.36
31,Clinton,39215,0.539,0.461,39.3,0.207,0.5820000000000001,0.052000000000000005,0.132,0.06,73591.0,0.882,0.124,0.21899999999999997,0.247,0.08199999999999999,0.655,0.02,0.10400000000000001,0.45399999999999996
32,Clinton Hill,22969,0.475,0.525,32.4,0.138,0.384,0.37799999999999995,0.057,0.062,66282.0,0.875,0.19399999999999998,0.32,0.26899999999999996,0.087,0.541,0.026000000000000002,0.068,0.535
33,Co-op City,21272,0.446,0.5539999999999999,46.1,0.302,0.08,0.589,0.006999999999999999,0.07,45277.0,0.925,0.10099999999999999,0.376,0.27,0.16,0.255,0.065,0.155,0.6609999999999999
34,Corona,13983,0.517,0.483,33.4,0.596,0.083,0.17600000000000002,0.136,0.049,44026.0,0.727,0.239,0.39799999999999996,0.382,0.33899999999999997,0.14300000000000002,0.011000000000000001,0.10400000000000001,0.37799999999999995
35,Crotona Park East,18951,0.45399999999999996,0.546,29.7,0.6729999999999999,0.01,0.3,0.006999999999999999,0.107,22557.0,0.8540000000000001,0.447,0.309,0.245,0.37799999999999995,0.115,0.024,0.114,0.41600000000000004
36,Crown Heights North,98050,0.447,0.5529999999999999,33.5,0.121,0.128,0.6990000000000001,0.027000000000000003,0.08,37104.0,0.843,0.29100000000000004,0.287,0.213,0.21,0.272,0.026000000000000002,0.1,0.5329999999999999
37,Crown Heights South,24981,0.47200000000000003,0.528,31.7,0.08199999999999999,0.264,0.625,0.012,0.10800000000000001,41745.0,0.863,0.212,0.34299999999999997,0.28600000000000003,0.161,0.281,0.023,0.075,0.579
38,Cypress Hills-City Line,30313,0.478,0.522,31.8,0.604,0.05,0.259,0.064,0.049,40432.0,0.845,0.302,0.426,0.35700000000000004,0.28600000000000003,0.114,0.018000000000000002,0.066,0.504
39,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,48265,0.486,0.514,33.8,0.215,0.442,0.212,0.10300000000000001,0.068,84945.0,0.917,0.212,0.38799999999999996,0.342,0.146,0.563,0.02,0.10800000000000001,0.527
40,Douglas Manor-Douglaston-Little Neck,5895,0.484,0.516,44.1,0.113,0.467,0.018000000000000002,0.392,0.045,83749.0,0.893,0.07400000000000001,0.607,0.544,0.09300000000000001,0.499,0.049,0.096,0.6779999999999999
41,Dyker Heights,11609,0.5,0.5,38.5,0.102,0.49,0.006,0.39299999999999996,0.054000000000000006,54752.0,0.8959999999999999,0.16,0.5660000000000001,0.547,0.302,0.252,0.032,0.091,0.507
