,NTA,Count,Male_Prct,Female_Prct,Med_Age,His_Prct,Wht_Prct,Blk_Prct,Asi_Prct,Emp_Prct,Med_Icm,Ins_Prct,Bl_Pvt_Prct,M_Mrg_Prct,F_Mrg_Prct,Bf_Hs_Prct,Af_Hs_Prct,Vtr_Prct,Dis_Prct,Citi_Prct
87,Kew Gardens,6999,0.49,0.51,38.3,0.251,0.475,0.069,0.179,0.052000000000000005,65035.0,0.903,0.11800000000000001,0.52,0.46399999999999997,0.106,0.46,0.024,0.09,0.659
88,Kew Gardens Hills,11180,0.478,0.522,35.7,0.12300000000000001,0.521,0.07200000000000001,0.243,0.049,61348.0,0.9059999999999999,0.138,0.551,0.49,0.122,0.433,0.022000000000000002,0.092,0.733
89,Kingsbridge Heights,20679,0.461,0.539,33.0,0.7190000000000001,0.026000000000000002,0.191,0.051,0.10400000000000001,31330.0,0.809,0.325,0.325,0.251,0.326,0.182,0.027000000000000003,0.12300000000000001,0.452
90,Laurelton,10854,0.441,0.5589999999999999,40.7,0.044000000000000004,0.012,0.9059999999999999,0.01,0.052000000000000005,83165.0,0.892,0.055,0.45399999999999996,0.35600000000000004,0.126,0.26899999999999996,0.057,0.102,0.7090000000000001
91,Lenox Hill-Roosevelt Island,1314,0.433,0.5670000000000001,37.3,0.081,0.741,0.042,0.113,0.032,98797.0,0.95,0.08199999999999999,0.47700000000000004,0.336,0.036000000000000004,0.769,0.032,0.063,0.442
92,Lincoln Square,26478,0.485,0.515,41.2,0.095,0.748,0.024,0.107,0.040999999999999995,120337.0,0.9590000000000001,0.08,0.46,0.408,0.025,0.815,0.040999999999999995,0.076,0.486
93,Longwood,28088,0.48,0.52,29.9,0.745,0.013000000000000001,0.226,0.009000000000000001,0.067,24214.0,0.835,0.385,0.278,0.214,0.43700000000000006,0.094,0.025,0.14800000000000002,0.375
94,Madison,13227,0.491,0.509,41.8,0.078,0.675,0.01,0.225,0.042,55840.0,0.929,0.142,0.5710000000000001,0.535,0.14400000000000002,0.39299999999999996,0.025,0.107,0.6859999999999999
95,Manhattanville,22146,0.475,0.525,32.9,0.5670000000000001,0.09699999999999999,0.28,0.03,0.054000000000000006,29182.0,0.831,0.331,0.243,0.185,0.335,0.231,0.022000000000000002,0.126,0.402
96,Maspeth,11448,0.486,0.514,40.2,0.282,0.575,0.01,0.121,0.059000000000000004,56689.0,0.83,0.12,0.511,0.46399999999999997,0.157,0.243,0.042,0.084,0.63
97,Melrose South-Mott Haven North,47731,0.439,0.561,28.8,0.645,0.02,0.315,0.004,0.08900000000000001,22537.0,0.8390000000000001,0.408,0.281,0.213,0.414,0.105,0.02,0.154,0.349
98,Middle Village,10219,0.478,0.522,43.3,0.17,0.741,0.006999999999999999,0.07400000000000001,0.048,69763.0,0.907,0.09,0.552,0.47600000000000003,0.149,0.311,0.042,0.091,0.6890000000000001
99,Midtown-Midtown South,142378,0.48,0.52,35.3,0.077,0.639,0.04,0.21600000000000003,0.039,114491.0,0.9359999999999999,0.134,0.33899999999999997,0.299,0.039,0.774,0.024,0.057999999999999996,0.368
100,Midwood,16039,0.488,0.512,36.0,0.075,0.7609999999999999,0.044000000000000004,0.106,0.052000000000000005,43687.0,0.899,0.233,0.565,0.515,0.139,0.409,0.016,0.109,0.644
101,Morningside Heights,27737,0.449,0.551,29.7,0.221,0.47700000000000004,0.115,0.152,0.038,56371.0,0.9259999999999999,0.242,0.32899999999999996,0.244,0.11699999999999999,0.64,0.023,0.09300000000000001,0.409
102,Morrisania-Melrose,32924,0.46299999999999997,0.537,29.8,0.61,0.013000000000000001,0.355,0.005,0.091,26339.0,0.858,0.36200000000000004,0.326,0.251,0.374,0.115,0.025,0.138,0.39399999999999996
103,Mott Haven-Port Morris,64921,0.47600000000000003,0.524,28.9,0.7190000000000001,0.013000000000000001,0.253,0.008,0.078,20334.0,0.8140000000000001,0.46399999999999997,0.272,0.221,0.429,0.08900000000000001,0.013999999999999999,0.177,0.33899999999999997
104,Mount Hope,45815,0.47600000000000003,0.524,31.1,0.693,0.016,0.263,0.012,0.11199999999999999,26195.0,0.8340000000000001,0.38799999999999996,0.35,0.239,0.354,0.133,0.015,0.141,0.353
105,Murray Hill,11912,0.47700000000000004,0.523,42.7,0.14,0.265,0.017,0.557,0.048,52696.0,0.784,0.156,0.5589999999999999,0.518,0.20800000000000002,0.29600000000000004,0.026000000000000002,0.083,0.485
106,Murray Hill-Kips Bay,26541,0.45299999999999996,0.547,33.8,0.115,0.636,0.05,0.161,0.039,97458.0,0.943,0.125,0.33299999999999996,0.256,0.045,0.74,0.025,0.064,0.44
107,New Brighton-Silver Lake,9444,0.523,0.47700000000000004,38.1,0.25,0.556,0.11699999999999999,0.057999999999999996,0.057999999999999996,76522.0,0.8909999999999999,0.154,0.493,0.488,0.12300000000000001,0.32799999999999996,0.055999999999999994,0.079,0.564
108,New Dorp-Midland Beach,12589,0.49,0.51,41.5,0.11800000000000001,0.7929999999999999,0.012,0.073,0.045,78100.0,0.9390000000000001,0.064,0.575,0.527,0.084,0.303,0.055,0.113,0.708
109,New Springville-Bloomfield-Travis,15889,0.474,0.526,42.4,0.128,0.639,0.055999999999999994,0.16399999999999998,0.040999999999999995,78548.0,0.9359999999999999,0.083,0.598,0.526,0.105,0.314,0.05,0.08800000000000001,0.701
110,North Corona,22502,0.557,0.44299999999999995,30.4,0.8690000000000001,0.01,0.042,0.07200000000000001,0.042,46568.0,0.585,0.252,0.36,0.389,0.467,0.078,0.006999999999999999,0.077,0.22899999999999998
111,North Riverdale-Fieldston-Riverdale,7180,0.457,0.5429999999999999,42.5,0.19699999999999998,0.644,0.066,0.08,0.044000000000000004,78895.0,0.9470000000000001,0.085,0.48700000000000004,0.369,0.08,0.5770000000000001,0.049,0.106,0.6579999999999999
112,North Side-South Side,29856,0.499,0.501,31.8,0.35600000000000004,0.532,0.024,0.059000000000000004,0.053,61381.0,0.862,0.225,0.33299999999999996,0.311,0.165,0.516,0.019,0.067,0.45899999999999996
113,Norwood,26790,0.46399999999999997,0.536,31.8,0.5760000000000001,0.11199999999999999,0.174,0.114,0.09,35319.0,0.846,0.294,0.353,0.26899999999999996,0.27699999999999997,0.201,0.021,0.132,0.396
114,Oakland Gardens,6391,0.484,0.516,42.5,0.076,0.409,0.019,0.457,0.040999999999999995,73060.0,0.884,0.09300000000000001,0.589,0.539,0.08900000000000001,0.48100000000000004,0.039,0.084,0.711
115,Oakwood-Oakwood Beach,7507,0.457,0.5429999999999999,44.2,0.126,0.802,0.03,0.027000000000000003,0.044000000000000004,76980.0,0.951,0.055,0.618,0.501,0.094,0.324,0.07400000000000001,0.11900000000000001,0.7909999999999999
116,Ocean Hill,39190,0.444,0.556,34.2,0.16899999999999998,0.022000000000000002,0.782,0.017,0.076,33125.0,0.8590000000000001,0.3,0.359,0.25,0.268,0.146,0.037000000000000005,0.121,0.47700000000000004
117,Ocean Parkway South,5839,0.49,0.51,31.9,0.086,0.855,0.003,0.040999999999999995,0.049,50540.0,0.9009999999999999,0.198,0.56,0.534,0.139,0.374,0.022000000000000002,0.105,0.6709999999999999
118,Old Astoria,12088,0.49700000000000005,0.503,33.3,0.34600000000000003,0.355,0.10800000000000001,0.16399999999999998,0.079,46840.0,0.807,0.20800000000000002,0.405,0.363,0.21899999999999997,0.381,0.021,0.087,0.483
119,Old Town-Dongan Hills-South Beach,10885,0.47100000000000003,0.529,39.8,0.133,0.7140000000000001,0.043,0.091,0.045,63885.0,0.925,0.11699999999999999,0.544,0.45299999999999996,0.127,0.303,0.042,0.114,0.6559999999999999
120,Ozone Park,11737,0.49,0.51,37.8,0.397,0.255,0.061,0.237,0.071,65786.0,0.871,0.161,0.529,0.485,0.212,0.218,0.046,0.113,0.611
121,Park Slope-Gowanus,34713,0.48100000000000004,0.519,34.9,0.185,0.6509999999999999,0.052000000000000005,0.067,0.048,101784.0,0.9079999999999999,0.076,0.48100000000000004,0.423,0.075,0.716,0.024,0.059000000000000004,0.509
122,Parkchester,15259,0.47200000000000003,0.528,37.5,0.354,0.025,0.47100000000000003,0.127,0.091,46747.0,0.893,0.17,0.389,0.289,0.18899999999999997,0.257,0.047,0.107,0.523
123,Pelham Parkway,15115,0.465,0.535,36.3,0.385,0.37,0.11900000000000001,0.113,0.068,47806.0,0.868,0.17300000000000001,0.46,0.35600000000000004,0.215,0.313,0.027999999999999997,0.109,0.423
124,Pomonok-Flushing Heights-Hillcrest,11804,0.46299999999999997,0.537,37.3,0.218,0.348,0.106,0.305,0.07200000000000001,48386.0,0.914,0.205,0.539,0.473,0.142,0.313,0.040999999999999995,0.1,0.6579999999999999
125,Prospect Heights,8492,0.49,0.51,35.7,0.105,0.511,0.265,0.078,0.051,84323.0,0.909,0.099,0.384,0.345,0.071,0.6829999999999999,0.02,0.055,0.612
126,Prospect Lefferts Gardens-Wingate,47382,0.444,0.556,35.8,0.096,0.11699999999999999,0.742,0.021,0.096,42462.0,0.8490000000000001,0.23399999999999999,0.34600000000000003,0.262,0.182,0.244,0.026000000000000002,0.09,0.5660000000000001
127,Queens Village,20802,0.47600000000000003,0.524,39.7,0.17600000000000002,0.062,0.493,0.168,0.087,71313.0,0.86,0.10800000000000001,0.47700000000000004,0.41700000000000004,0.171,0.217,0.032,0.096,0.6609999999999999
128,Queensboro Hill,6066,0.489,0.511,38.0,0.179,0.153,0.018000000000000002,0.622,0.055,53836.0,0.7809999999999999,0.151,0.562,0.565,0.266,0.26,0.017,0.059000000000000004,0.55
129,Queensbridge-Ravenswood-Long Island City,17192,0.473,0.527,33.8,0.391,0.166,0.237,0.17600000000000002,0.10099999999999999,28378.0,0.818,0.34,0.35600000000000004,0.294,0.284,0.233,0.018000000000000002,0.109,0.503
130,Rego Park,11430,0.465,0.535,44.0,0.18,0.457,0.019,0.311,0.048,50871.0,0.865,0.10099999999999999,0.5529999999999999,0.445,0.102,0.48700000000000004,0.022000000000000002,0.11900000000000001,0.677
131,Richmond Hill,31097,0.49,0.51,35.0,0.35,0.111,0.085,0.308,0.066,58473.0,0.816,0.162,0.504,0.47100000000000003,0.263,0.217,0.021,0.092,0.552
132,Ridgewood,36226,0.495,0.505,34.1,0.485,0.40399999999999997,0.02,0.078,0.052000000000000005,49776.0,0.79,0.201,0.455,0.41100000000000003,0.22899999999999998,0.205,0.018000000000000002,0.06,0.419
133,Rikers Island,5654,0.9079999999999999,0.092,29.4,0.349,0.069,0.551,0.02,,,,,0.125,0.077,0.627,0.025,0.01,,0.254
134,Rosedale,9880,0.439,0.561,34.8,0.07,0.054000000000000006,0.8290000000000001,0.035,0.046,83647.0,0.8909999999999999,0.087,0.45899999999999996,0.316,0.11900000000000001,0.28600000000000003,0.026000000000000002,0.065,0.662
135,Rossville-Woodrow,7513,0.479,0.521,39.2,0.078,0.8640000000000001,0.004,0.048,0.035,83743.0,0.9620000000000001,0.127,0.607,0.5589999999999999,0.085,0.315,0.036000000000000004,0.071,0.759
136,Rugby-Remsen Village,32750,0.441,0.5589999999999999,38.2,0.055999999999999994,0.013000000000000001,0.9059999999999999,0.009000000000000001,0.07,44027.0,0.846,0.18600000000000003,0.385,0.27399999999999997,0.17600000000000002,0.192,0.025,0.095,0.628
137,Seagate-Coney Island,28251,0.469,0.531,40.3,0.249,0.32,0.298,0.11599999999999999,0.099,23229.0,0.9109999999999999,0.371,0.36,0.28,0.28600000000000003,0.214,0.025,0.221,0.679
138,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,29913,0.46399999999999997,0.536,43.6,0.071,0.6970000000000001,0.068,0.153,0.062,51314.0,0.9279999999999999,0.166,0.555,0.469,0.126,0.387,0.033,0.14,0.7709999999999999
139,SoHo-TriBeCa-Civic Center-Little Italy,54029,0.499,0.501,35.6,0.063,0.659,0.022000000000000002,0.21,0.037000000000000005,118931.0,0.94,0.1,0.401,0.38799999999999996,0.092,0.7509999999999999,0.017,0.062,0.5
140,Soundview-Bruckner,32582,0.48700000000000004,0.513,32.1,0.622,0.021,0.24,0.071,0.08,30681.0,0.789,0.355,0.33799999999999997,0.295,0.41200000000000003,0.11900000000000001,0.024,0.1,0.353
141,Soundview-Castle Hill-Clason Point-Harding Park,4089,0.446,0.5539999999999999,36.3,0.581,0.017,0.366,0.019,0.063,36129.0,0.894,0.276,0.311,0.235,0.259,0.16699999999999998,0.043,0.16,0.62
142,South Jamaica,26696,0.478,0.522,30.9,0.249,0.005,0.617,0.061,0.12300000000000001,47732.0,0.848,0.198,0.313,0.285,0.222,0.165,0.03,0.092,0.556
143,South Ozone Park,38839,0.485,0.515,36.8,0.20800000000000002,0.059000000000000004,0.22899999999999998,0.23800000000000002,0.075,57849.0,0.815,0.141,0.485,0.446,0.254,0.16699999999999998,0.022000000000000002,0.092,0.599
144,Springfield Gardens North,14338,0.40700000000000003,0.593,37.7,0.122,0.012,0.843,0.013000000000000001,0.086,51341.0,0.904,0.129,0.358,0.24600000000000002,0.14800000000000002,0.239,0.057,0.147,0.6709999999999999
145,Springfield Gardens South-Brookville,11621,0.45299999999999996,0.547,34.2,0.064,0.017,0.8690000000000001,0.023,0.078,79042.0,0.8959999999999999,0.12,0.42,0.32299999999999995,0.146,0.25,0.027000000000000003,0.087,0.636
146,Spuyten Duyvil-Kingsbridge,16161,0.479,0.521,39.6,0.374,0.466,0.086,0.048,0.051,67534.0,0.92,0.115,0.48100000000000004,0.37200000000000005,0.129,0.475,0.048,0.113,0.679
